"url";"type";"category";"price";"rooms";"bedrooms";"bathrooms";"walkscore";"year_built";"high_schools";"primary_schools";"transit_friendly";"groceries";"restaurants";"pedestrian_friendly";"greenery";"historic";"cycling_friendly";"car_friendly";"vibrant";"shopping";"daycares";"nightlife";"cafes";"quiet";"parks";"lat";"lng";"lot_area_sqft";"lot_area_m2";"parking_driveway";"parking_garage";"parking_carport";"bedrooms_basement";"powder_rooms";"tipology";"neighbourhood"
"https://www.centris.ca/en/condos~for-sale~montreal-riviere-des-prairies-pointe-aux-trembles/26906001?view=summary";"sale";"condo for sale";250000;6;2;1;7;1995;4;4;3;3;1,5;2;2,5;0;3;5;0,5;2;4;0,5;1,5;3;5;45,67764408;-73,50260849;NA;NA;1;NA;NA;0;0;"condo";"Rivière-des-Prairies-Pointe-aux-Trembles"
"https://www.centris.ca/en/condos~for-sale~westmount/12189508?view=summary";"sale";"condo for sale";1299000;5;2;2;94;1989;4,5;4,5;5;4,5;4,5;5;3;2,5;3;2,5;3,5;5;5;3;4;3;5;45,48781017;-73,58689792;NA;NA;NA;1;NA;0;0;"condo";"Westmount"
"https://www.centris.ca/en/houses~for-sale~montreal-saint-laurent/11979160?view=summary";"sale";"house for sale";599000;7;2;1;24;1954;4;4,5;3;4;2,5;2,5;3,5;0;3;4;1;2,5;5;0,5;1,5;4,5;4;45,516455;-73,721525;6000;557,413600891862;2;1;NA;0;0;"house";"Saint-Laurent"
"https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/28121685?view=summary";"sale";"condo for sale";1855900;6;3;2;96;NA;4;3,5;5;5;4,5;5;1,5;3;2;3;4;5;4,5;5;5;0,5;5;45,49578997;-73,57099682;NA;NA;NA;1;NA;0;0;"condo";"Ville-Marie"
"https://www.centris.ca/en/condos~for-sale~montreal-villeray-saint-michel-parc-extension/14133200?view=summary";"sale";"condo for sale";1788800;15;3;2;88;2004;3,5;5;5;4,5;4;5;2,5;2,5;5;2;3,5;5;5;3;3;2;5;45,535482;-73,619867;NA;NA;NA;2;NA;0;1;"condo";"Villeray-Saint-Michel-Parc-Extension"
"https://www.centris.ca/en/duplexes~for-sale~montreal-mercier-hochelaga-maisonneuve/14182724?view=summary";"sale";"duplex for sale";649000;0;0;0;57;1962;3;5;3,5;4;2,5;3;2,5;1,5;2,5;3;1,5;2,5;4,5;2;2,5;1;3,5;45,61055;-73,525723;3189;296,265328874025;1;1;NA;0;0;"duplex";"Mercier-Hochelaga-Maisonneuve"
"https://www.centris.ca/en/houses~for-sale~montreal-riviere-des-prairies-pointe-aux-trembles/12825577?view=summary";"sale";"house for sale";799000;24;6;3;10;1973;3;3;2,5;4;2;2,5;3,5;1,5;3,5;5;1;2;2,5;1,5;1;2;4;45,65732;-73,491927;8656;804,162021553326;5;NA;NA;6;2;"house";"Rivière-des-Prairies-Pointe-aux-Trembles"
"https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/12265612?view=summary";"sale";"condo for sale";579000;5;1;1;96;2017;4;4;5;5;4,5;4,5;1,5;3;2;2,5;4;5;4,5;4,5;5;1;5;45,496881;-73,570016;NA;NA;NA;1;NA;1;0;"condo";"Ville-Marie"
"https://www.centris.ca/en/houses~for-sale~montreal-saint-laurent/28371637?view=summary";"sale";"house for sale";749000;6;1;2;57;1945;4;4,5;3,5;4;3;3,5;4;1;2,5;3,5;1,5;3,5;4,5;1;1,5;4;3,5;45,52278607;-73,67706812;5213;484,299516908213;2;NA;NA;1;0;"house";"Saint-Laurent"
"https://www.centris.ca/en/condos~for-sale~montreal-mercier-hochelaga-maisonneuve/18605875?view=summary";"sale";"condo for sale";374900;5;2;1;68;2005;2,5;4,5;4,5;4;3;3,5;1,5;1;2;4;1,5;4;4,5;2;3;5;4,5;45,587961;-73,534536;NA;NA;NA;1;NA;0;0;"condo";"Mercier-Hochelaga-Maisonneuve"
"https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/23648698?view=summary";"sale";"condo for sale";599000;5;2;1;98;2019;4,5;3,5;5;5;4,5;5;2,5;3,5;2;2;4,5;5;5;5;5;0;5;45,49468404;-73,57492986;NA;NA;NA;1;NA;0;1;"condo";"Ville-Marie"
"https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/9983078?view=summary";"sale";"condo for sale";698888;8;2;2;94;2020;4;4;5;5;4,5;5;2,5;3;2,5;3;4;5;4,5;4;4,5;1,5;5;45,49496446;-73,5683077;NA;NA;NA;1;NA;0;0;"condo";"Ville-Marie"
"https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/14277658?view=summary";"sale";"condo for sale";478900;4;1;1;93;2016;3;3,5;5;5;4,5;5;2,5;3,5;5;2;4,5;5;4,5;5;4;2,5;5;45,51615207;-73,55731466;NA;NA;NA;NA;NA;0;0;"condo";"Ville-Marie"
"https://www.centris.ca/en/duplexes~for-sale~montreal-villeray-saint-michel-parc-extension/17066741?view=summary";"sale";"duplex for sale";798000;0;0;0;66;1962;3,5;4,5;4;4,5;3,5;4,5;3;1;3;3;2,5;4;4,5;2,5;2,5;0,5;4;45,555641;-73,614257;2205;204,849498327759;1;1;NA;0;0;"duplex";"Villeray-Saint-Michel-Parc-Extension"
"https://www.centris.ca/en/condos~for-sale~montreal-est/18909034?view=summary";"sale";"condo for sale";342200;3;1;1;23;NA;1,5;5;2,5;4;2;2,5;2;1,5;3;5;1;2;5;1,5;1,5;1,5;3,5;45,63069;-73,500574;NA;NA;NA;NA;NA;0;0;"condo";"Montréal-Est"
"https://www.centris.ca/en/condos~for-sale~montreal-rosemont-la-petite-patrie/18881011?view=summary";"sale";"condo for sale";637700;6;3;1;77;2003;2,5;5;4;4,5;4;5;3;2,5;4,5;2,5;3,5;3,5;5;3;3;2;5;45,546227;-73,569332;NA;NA;NA;NA;NA;0;1;"condo";"Rosemont-La Petite-Patrie"
"https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/26399977?view=summary";"sale";"condo for sale";519000;5;2;1;98;2018;4;4;5;5;5;5;1;3;2,5;2,5;4,5;5;5;5;5;1,5;5;45,50284378;-73,56742919;NA;NA;NA;NA;NA;0;0;"condo";"Ville-Marie"
"https://www.centris.ca/en/duplexes~for-sale~hampstead/11213583?view=summary";"sale";"duplex for sale";1750000;0;0;0;54;1951;3,5;4;4;3;3;3,5;4,5;1;2,5;3,5;2;3,5;4,5;1,5;2,5;4;4;45,486753;-73,646697;5133;476,867335562988;3;2;NA;0;0;"duplex";"Hampstead"
"https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/16572500?view=summary";"sale";"duplex for sale";1095000;0;0;0;63;1970;0,5;4;3;4,5;3;3,5;1;0;2,5;3,5;1,5;3,5;4,5;2;2,5;4,5;4;45,43718818;-73,621921;5145;477,982162764771;2;2;NA;0;0;"duplex";"LaSalle"
"https://www.centris.ca/en/condos~for-sale~montreal-verdun-ile-des-soeurs/13714300?view=summary";"sale";"condo for sale";949000;5;2;2;11;2009;0;3,5;2,5;0,5;1,5;1,5;1,5;0;3,5;4,5;0,5;0,5;3;0,5;0,5;5;4;45,44851363;-73,55294555;NA;NA;NA;2;NA;0;0;"condo";"Verdun"
"https://www.centris.ca/en/triplexes~for-sale~montreal-anjou/15436059?view=summary";"sale";"triplex for sale";789000;0;0;0;53;1960;4;5;3;3,5;2,5;3,5;3;0,5;4;3,5;1,5;3;4,5;1;2;4;4;45,604882;-73,544653;3531;328,037904124861;2;NA;NA;0;0;"triplex";"Anjou"
"https://www.centris.ca/en/triplexes~for-sale~montreal-verdun-ile-des-soeurs/21624931?view=summary";"sale";"triplex for sale";879000;0;0;0;86;1910;1,5;4,5;4;4,5;3,5;5;3;2,5;4;3;2,5;3;4,5;2;2,5;3,5;5;45,45768287;-73,56451986;1943;180,509104422148;NA;NA;NA;0;0;"triplex";"Verdun"
"https://www.centris.ca/en/condos~for-sale~montreal-le-sud-ouest/24754168?view=summary";"sale";"condo for sale";424800;4;1;1;69;2015;3;4,5;4,5;4;4;5;2,5;3;5;4;2,5;4,5;5;2,5;3,5;3;5;45,48472457;-73,56351156;NA;NA;NA;1;NA;0;0;"condo";"Le Sud-Ouest"
"https://www.centris.ca/en/condos~for-sale~montreal-outremont/14433405?view=summary";"sale";"condo for sale";499000;7;2;1;71;1927;5;5;4,5;4,5;4;5;3,5;2,5;3,5;3;3;4,5;5;2,5;2,5;3;5;45,517215;-73,617426;NA;NA;NA;NA;NA;0;0;"condo";"Outremont"
"https://www.centris.ca/en/condos~for-sale~montreal-est/18236720?view=summary";"sale";"condo for sale";279000;4;2;1;27;2005;2;4,5;2,5;4;2;2,5;2,5;1,5;3;5;1;2;4,5;1,5;1,5;3;3;45,631427;-73,502039;NA;NA;1;NA;NA;0;0;"condo";"Montréal-Est"
"https://www.centris.ca/en/condos~for-sale~dollard-des-ormeaux/11065349?view=summary";"sale";"condo for sale";570000;10;2;2;57;NA;4,5;4,5;2;3,5;2,5;2,5;3;0;2;4;1;2,5;4;1,5;2;3,5;3,5;45,48262622;-73,84554736;NA;NA;NA;1;NA;0;0;"condo";"Dollard-des-Ormeaux"
"https://www.centris.ca/en/condos~for-sale~montreal-montreal-nord/14274748?view=summary";"sale";"condo for sale";295000;5;2;1;45;2007;2,5;4;4;2;2,5;3,5;2,5;1;2;4,5;1,5;3;5;2;1;0,5;3,5;45,623134;-73,621775;NA;NA;NA;1;NA;0;0;"condo";"Montréal-Nord"
